,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dl,1.8848,0.1042,1.7201,2.0602,0.003,0.0021,1230.0357,2379.1218,1.0042
"dz[0,0]",0.2954,0.3379,-0.2504,0.858,0.0043,0.0032,6221.1869,5762.1064,1.0009
"dz[0,1]",0.4986,0.3543,-0.0965,1.0626,0.0045,0.0034,6155.5125,6154.5383,1.0004
"dz[0,2]",0.5407,0.3659,-0.0766,1.1215,0.0046,0.0035,6293.3547,5444.2795,1.0008
"dz[0,3]",0.7047,0.3667,0.1252,1.3174,0.0048,0.0035,5861.122,5794.6753,1.0
"dz[0,4]",1.0411,0.3952,0.3999,1.6847,0.0051,0.0037,5959.285,5984.3949,1.0006
"dz[0,5]",1.0928,0.3964,0.4545,1.7341,0.0052,0.0038,5842.4163,5935.9592,1.0008
"dz[0,6]",0.4012,0.3439,-0.1514,0.9842,0.0044,0.0032,6095.4479,6268.4398,1.0002
"dz[0,7]",0.6355,0.3593,0.0768,1.2578,0.0048,0.0036,5593.2527,5491.357,1.0007
"dz[0,8]",0.8767,0.3813,0.2415,1.4871,0.0045,0.0033,7245.6751,6315.1628,1.0
"dz[0,9]",0.4649,0.3495,-0.1008,1.0403,0.0045,0.0034,6038.2748,6025.0183,1.0006
"dz[0,10]",1.3549,0.4143,0.6674,2.0192,0.0051,0.0037,6566.5336,5685.9342,1.0005
"dz[0,11]",0.6768,0.365,0.082,1.2779,0.0047,0.0035,6163.5698,5868.3003,0.9999
"dz[0,12]",0.666,0.3627,0.0793,1.257,0.0043,0.0032,7291.3626,6093.8083,1.0003
"dz[0,13]",1.2633,0.4113,0.6169,1.9534,0.0054,0.0039,5942.0191,5497.5119,1.0009
"dz[0,14]",0.9371,0.3924,0.3188,1.6059,0.005,0.0038,6071.2568,5344.757,1.0005
"dz[0,15]",1.2603,0.4091,0.5948,1.9163,0.0052,0.0038,6229.6807,6007.02,1.001
"dz[0,16]",1.4606,0.4252,0.7918,2.1869,0.0054,0.0039,6364.6802,5538.4134,1.0002
"dz[0,17]",1.0104,0.389,0.3865,1.67,0.0047,0.0034,6950.9552,6224.812,1.0005
"dz[0,18]",0.6292,0.3565,0.0253,1.1897,0.0047,0.0034,5870.0323,5716.9286,1.0005
"dz[0,19]",1.4158,0.4148,0.7415,2.0902,0.0051,0.0037,6647.5764,5777.4591,1.0003
"dz[0,20]",0.4981,0.349,-0.0778,1.0496,0.0045,0.0033,6180.3023,5630.025,1.0003
"dz[0,21]",1.176,0.4101,0.5337,1.8708,0.0051,0.0038,6452.8451,5509.3618,1.0014
"dz[0,22]",0.6337,0.362,0.0139,1.1964,0.0045,0.0033,6562.3579,6089.3566,1.0007
"dz[0,23]",1.0126,0.3796,0.3871,1.6273,0.0049,0.0036,6059.6744,5908.8054,1.0009
"dz[0,24]",1.2093,0.3994,0.5086,1.8251,0.0048,0.0035,7095.328,5930.2895,0.9997
"dz[0,25]",0.9615,0.3863,0.3057,1.5832,0.0049,0.0035,6153.9071,6243.8484,1.0004
"dz[0,26]",0.442,0.3494,-0.1395,1.0004,0.0042,0.0031,7044.8472,6053.3072,1.0003
"dz[0,27]",0.8669,0.3866,0.2359,1.5113,0.0051,0.0036,5804.7036,5603.7223,1.0002
"dz[0,28]",0.9625,0.3861,0.2967,1.5613,0.0051,0.0038,5771.4346,5071.9038,1.0006
"dz[0,29]",1.1818,0.4022,0.5299,1.8459,0.0048,0.0036,6994.0427,5768.3048,1.0003
"dz[0,30]",0.5449,0.3599,-0.0447,1.1393,0.0047,0.0034,5804.4623,5460.5293,1.0002
"dz[0,31]",0.8627,0.3871,0.2566,1.5324,0.0047,0.0034,6938.5436,5947.9719,1.0008
"dz[0,32]",1.0139,0.3838,0.3778,1.6388,0.0046,0.0034,7007.2721,5912.7737,1.0005
"dz[0,33]",1.0116,0.3929,0.3664,1.6415,0.0049,0.0036,6461.0719,5811.1397,1.0004
"dz[0,34]",1.3613,0.424,0.6693,2.0424,0.0053,0.0038,6559.5272,5764.6738,1.0002
"dz[0,35]",0.9588,0.3873,0.3584,1.6308,0.005,0.0036,6051.9909,5537.7779,0.9998
"dz[0,36]",0.743,0.3751,0.0958,1.3208,0.0048,0.0036,6111.2035,5180.3072,1.0006
"dz[0,37]",0.8717,0.3781,0.2455,1.4744,0.0044,0.0033,7300.361,6228.2714,1.0
"dz[0,38]",1.0953,0.3943,0.4539,1.7393,0.005,0.0036,6206.3295,5813.659,1.0003
"dz[0,39]",0.8685,0.3826,0.2312,1.4925,0.0047,0.0035,6590.644,5409.5103,1.0001
"dz[0,40]",0.9586,0.3777,0.3476,1.569,0.0047,0.0034,6318.1515,6190.0917,1.0004
"dz[0,41]",1.5168,0.4341,0.7701,2.1951,0.0054,0.0039,6429.3041,5974.8237,1.0007
"dz[0,42]",1.5264,0.4203,0.8392,2.215,0.0054,0.0039,6191.6773,5653.2248,1.0002
"dz[0,43]",0.835,0.3751,0.2224,1.4421,0.0049,0.0035,5924.2594,5681.8334,1.0017
"dz[0,44]",1.2595,0.4058,0.5876,1.9073,0.0053,0.004,5902.3901,5197.0595,1.0012
"dz[0,45]",0.9277,0.3757,0.281,1.519,0.005,0.0035,5688.812,5843.2857,1.0004
"dz[0,46]",0.7382,0.3711,0.1251,1.3388,0.0046,0.0034,6535.7478,5914.1579,1.0005
"dz[0,47]",0.7412,0.3743,0.0987,1.3176,0.0043,0.0032,7556.1241,6154.2255,1.0006
"dz[0,48]",0.2371,0.3418,-0.2983,0.8195,0.0046,0.0035,5543.5121,5867.5823,1.0005
"dz[1,0]",-1.3653,0.317,-1.8866,-0.8434,0.0049,0.0035,4218.2805,5335.203,1.0008
"dz[1,1]",-0.7333,0.3129,-1.2625,-0.2287,0.0044,0.0031,5047.8664,5623.8154,1.0008
"dz[1,2]",-0.8384,0.3237,-1.3622,-0.312,0.0048,0.0034,4628.8541,6229.0982,1.0007
"dz[1,3]",-1.3241,0.3169,-1.8553,-0.8116,0.005,0.0035,3983.4886,5122.0232,1.0006
"dz[1,4]",-1.0683,0.3055,-1.5756,-0.5745,0.0047,0.0034,4151.5587,5169.7708,1.0009
"dz[1,5]",-1.0334,0.3041,-1.5541,-0.5514,0.0044,0.0032,4686.9649,5799.8803,1.0002
"dz[1,6]",-0.7044,0.3206,-1.2351,-0.175,0.0047,0.0033,4677.7537,5301.2689,1.0001
"dz[1,7]",-0.8197,0.32,-1.3335,-0.2864,0.0046,0.0033,4777.259,5218.731,1.0006
"dz[1,8]",-0.7487,0.3312,-1.3015,-0.1968,0.0052,0.0037,4078.1311,5427.7296,1.0013
"dz[1,9]",-0.8822,0.3249,-1.4443,-0.3768,0.0047,0.0033,4873.2204,5187.4002,1.0009
"dz[1,10]",-0.7073,0.3217,-1.2404,-0.1855,0.0047,0.0033,4771.6141,5551.9176,1.0005
"dz[1,11]",-1.1022,0.3153,-1.633,-0.6043,0.0047,0.0033,4452.0128,5015.2164,1.0012
"dz[1,12]",-0.5368,0.3381,-1.125,-0.0118,0.0047,0.0034,5216.9893,5060.0839,1.0009
"dz[1,13]",-0.8865,0.321,-1.4209,-0.3747,0.0049,0.0035,4380.7239,5422.5704,1.0005
"dz[1,14]",-0.8579,0.3302,-1.3998,-0.3316,0.0047,0.0033,4999.0468,6391.5107,1.0004
"dz[1,15]",-1.0156,0.3196,-1.5564,-0.5051,0.0047,0.0033,4572.8438,5650.681,1.0002
"dz[1,16]",-1.1245,0.3095,-1.6252,-0.6101,0.0046,0.0032,4555.0714,6031.4051,1.0018
"dz[1,17]",-0.6832,0.3134,-1.208,-0.1756,0.0043,0.0031,5300.1102,5483.7712,1.0004
"dz[1,18]",-1.2588,0.3088,-1.7606,-0.7499,0.0048,0.0034,4130.1969,5097.358,1.0003
"dz[1,19]",-0.4877,0.3258,-1.0169,0.0564,0.0046,0.0034,5010.3996,5289.8625,1.0012
"dz[1,20]",-0.7036,0.3282,-1.2467,-0.1772,0.0051,0.0036,4148.2656,5466.4793,1.0015
"dz[1,21]",-0.9702,0.3153,-1.4776,-0.4391,0.0049,0.0034,4192.5258,5516.9864,1.0003
"dz[1,22]",-1.165,0.3087,-1.6551,-0.6323,0.0046,0.0033,4426.2219,5414.5212,1.001
"dz[1,23]",-0.7525,0.3288,-1.2831,-0.2064,0.0051,0.0036,4214.7597,5170.1044,1.0005
"dz[1,24]",-1.0779,0.3208,-1.6239,-0.5754,0.005,0.0035,4167.0521,5657.4815,1.0002
"dz[1,25]",-0.5744,0.3315,-1.107,-0.0225,0.0048,0.0034,4781.9836,5368.5867,1.0005
"dz[1,26]",-1.2551,0.3118,-1.7798,-0.7534,0.0047,0.0034,4410.6321,5128.8477,1.0002
"dz[1,27]",-0.1144,0.3328,-0.6497,0.4459,0.0045,0.0033,5425.5077,5853.4403,1.0006
"dz[1,28]",-1.0167,0.3168,-1.5299,-0.496,0.0047,0.0033,4582.9942,5206.9178,1.0012
"dz[1,29]",-0.8976,0.3143,-1.4066,-0.3704,0.0045,0.0033,4854.0434,5226.8622,1.0002
"dz[1,30]",-0.5264,0.3223,-1.0482,0.0003,0.0044,0.0032,5396.891,5340.8755,1.0005
"dz[1,31]",-0.7498,0.3261,-1.2777,-0.2058,0.0048,0.0034,4680.7488,6155.7076,1.0001
"dz[1,32]",-0.5939,0.3183,-1.1134,-0.0684,0.0044,0.0032,5264.2669,5309.6872,1.0005
"dz[1,33]",-1.1605,0.3073,-1.665,-0.6586,0.0046,0.0033,4396.984,5761.1959,1.0002
"dz[1,34]",-0.4941,0.3375,-1.0426,0.0718,0.0049,0.0035,4793.3509,6090.8141,1.0001
"dz[1,35]",-0.2453,0.3322,-0.77,0.3256,0.0045,0.0033,5395.314,6248.8029,1.0004
"dz[1,36]",-1.0457,0.3029,-1.5249,-0.544,0.0045,0.0033,4525.8269,5443.936,1.0008
"dz[1,37]",-0.713,0.307,-1.2168,-0.2097,0.0047,0.0033,4232.5228,5796.3602,1.0006
"dz[1,38]",-0.9861,0.3109,-1.4797,-0.4734,0.0045,0.0033,4761.8081,4913.7979,1.001
"dz[1,39]",-1.0586,0.3195,-1.5498,-0.5012,0.0048,0.0034,4500.8215,5132.0159,1.0006
"dz[1,40]",-1.5406,0.3165,-2.0659,-1.0261,0.0051,0.0037,3825.4792,5226.5264,1.0013
"dz[1,41]",-0.5331,0.3373,-1.0661,0.0442,0.005,0.0035,4610.7261,5604.9868,1.0006
"dz[1,42]",-0.5307,0.3115,-1.0589,-0.0389,0.0041,0.003,5634.1143,6437.1859,1.0009
"dz[1,43]",-1.2905,0.3117,-1.8004,-0.7923,0.0049,0.0035,4043.2993,5511.1785,1.0007
"dz[1,44]",-0.5138,0.3182,-1.0206,0.0187,0.0045,0.0033,5000.5255,5878.4854,1.0008
"dz[1,45]",-1.0827,0.3066,-1.5782,-0.5772,0.0045,0.0032,4725.5015,5664.6261,1.0011
"dz[1,46]",-0.823,0.319,-1.3822,-0.3318,0.0045,0.0032,5106.182,5728.3315,1.0004
"dz[1,47]",-0.971,0.3148,-1.5092,-0.4871,0.0046,0.0033,4671.126,5440.6596,1.0006
"dz[1,48]",-0.8426,0.3241,-1.3821,-0.318,0.0047,0.0033,4823.5105,5629.9221,1.0007
cl,-0.4609,0.0255,-0.5015,-0.4181,0.0004,0.0002,5215.7819,5665.1216,1.0009
"cz[0,0]",0.6986,0.7845,-0.5937,1.9956,0.0082,0.0072,9235.0515,5751.1502,1.0006
"cz[0,1]",0.4602,0.8114,-0.8487,1.8145,0.0091,0.0084,7998.1446,5499.4838,1.0019
"cz[0,2]",-0.0131,0.8356,-1.338,1.3863,0.0086,0.0085,9557.3479,6213.5217,1.0001
"cz[0,3]",0.6258,0.8172,-0.727,1.9576,0.0085,0.0072,9350.3856,6335.2726,0.9998
"cz[0,4]",0.3841,0.8519,-0.9626,1.8248,0.0091,0.0079,8839.454,6138.5062,0.9999
"cz[0,5]",-0.1599,0.8829,-1.5681,1.3127,0.0099,0.0095,7941.4367,6252.1792,1.0003
"cz[0,6]",1.235,0.791,-0.0545,2.5403,0.0077,0.006,10646.9763,6269.1623,1.0004
"cz[0,7]",0.5596,0.8125,-0.7959,1.8641,0.0089,0.0076,8336.2293,5514.5856,1.0004
"cz[0,8]",0.2849,0.8574,-1.0526,1.7694,0.0091,0.0092,8785.5446,5789.2978,1.0003
"cz[0,9]",1.3151,0.7839,0.0565,2.6396,0.0084,0.006,8818.9273,6258.5666,1.0
"cz[0,10]",-0.0,0.8872,-1.4447,1.4866,0.0091,0.0093,9577.3395,6464.2566,1.0003
"cz[0,11]",0.0821,0.8224,-1.3793,1.3208,0.0087,0.0085,8973.6725,6175.1323,0.9999
"cz[0,12]",0.1091,0.825,-1.2804,1.4206,0.0082,0.0088,10092.3733,6402.9504,1.0001
"cz[0,13]",-0.0661,0.8962,-1.4907,1.4302,0.0103,0.0097,7615.9411,6228.1265,1.0009
"cz[0,14]",-0.2665,0.8838,-1.7046,1.1893,0.0094,0.0086,8944.5184,6793.1328,1.0007
"cz[0,15]",-0.0437,0.8752,-1.527,1.3548,0.0101,0.009,7598.528,6623.6253,1.0
"cz[0,16]",0.0488,0.8819,-1.3662,1.4988,0.0094,0.0091,8830.5487,6267.3031,1.0008
"cz[0,17]",-0.2031,0.858,-1.5827,1.199,0.0087,0.009,9676.8752,6355.9862,0.9999
"cz[0,18]",0.5654,0.8138,-0.7413,1.9344,0.009,0.0071,8220.0326,5815.8973,1.0002
"cz[0,19]",0.6518,0.8677,-0.7988,2.047,0.0095,0.0078,8379.248,6087.3886,1.0001
"cz[0,20]",0.4573,0.8082,-0.8587,1.7837,0.0084,0.0075,9277.5408,6312.5738,1.0005
"cz[0,21]",-0.1073,0.8738,-1.5284,1.3381,0.0097,0.0096,8221.7244,5592.3267,1.0008
"cz[0,22]",0.5686,0.8057,-0.8383,1.8139,0.0084,0.0072,9223.7163,6398.4355,1.0003
"cz[0,23]",0.9191,0.8421,-0.4775,2.3032,0.0094,0.0072,8054.0657,5708.8196,1.001
"cz[0,24]",0.5344,0.8602,-0.9078,1.8961,0.0093,0.0082,8529.9988,6224.3911,0.9999
"cz[0,25]",0.3092,0.8527,-1.0825,1.6982,0.0086,0.0087,9800.7654,6262.7169,1.0005
"cz[0,26]",0.3946,0.8054,-0.8898,1.7551,0.0084,0.0078,9147.4114,6527.143,1.0005
"cz[0,27]",-0.3151,0.8692,-1.7338,1.1036,0.0098,0.0087,7855.7836,5820.5639,1.0
"cz[0,28]",0.3336,0.8542,-1.1117,1.6781,0.009,0.0087,9049.5487,6359.0689,1.0001
"cz[0,29]",-0.1219,0.8847,-1.565,1.3414,0.0097,0.0091,8277.5063,6467.8209,1.0001
"cz[0,30]",0.9444,0.8115,-0.4291,2.2364,0.009,0.0069,8229.164,5784.3932,1.0014
"cz[0,31]",-0.2994,0.8905,-1.7571,1.1666,0.0094,0.0089,8921.3937,6634.8968,1.0007
"cz[0,32]",-0.2122,0.8565,-1.602,1.2145,0.009,0.0088,9129.1522,6786.646,1.0007
"cz[0,33]",-0.2071,0.8698,-1.6243,1.2078,0.0092,0.0093,8948.4302,6616.484,1.0006
"cz[0,34]",-0.0076,0.8769,-1.4434,1.4393,0.0095,0.0093,8559.7615,5661.4233,1.0007
"cz[0,35]",0.3358,0.8531,-1.0943,1.698,0.0089,0.0082,9215.466,5921.5879,1.0002
"cz[0,36]",0.1538,0.8504,-1.2003,1.5677,0.009,0.0088,8853.9592,6466.2716,1.0007
"cz[0,37]",0.28,0.8324,-1.0752,1.65,0.0088,0.0085,8996.7157,6289.0814,0.9997
"cz[0,38]",-0.1653,0.8766,-1.6448,1.243,0.0088,0.009,9993.485,6739.2361,0.9999
"cz[0,39]",-0.3119,0.8578,-1.7599,1.0488,0.0089,0.0087,9307.6037,6823.3276,0.9998
"cz[0,40]",0.3419,0.8286,-1.1297,1.5751,0.0089,0.0078,8666.8479,6594.3021,1.0003
"cz[0,41]",0.7353,0.8914,-0.6973,2.2476,0.0096,0.0073,8795.5899,5998.833,1.0001
"cz[0,42]",0.7357,0.8658,-0.597,2.2374,0.0093,0.0075,8684.4451,6174.1989,1.0002
"cz[0,43]",1.2441,0.8165,-0.1043,2.5338,0.0089,0.0065,8386.1589,6485.0844,1.0007
"cz[0,44]",-0.0481,0.8773,-1.4767,1.4149,0.01,0.0091,7671.1572,6309.4757,1.0003
"cz[0,45]",0.8311,0.8266,-0.521,2.1885,0.0093,0.0071,7935.7922,6001.6724,1.0008
"cz[0,46]",0.1451,0.8408,-1.218,1.5626,0.0087,0.0087,9363.9444,6514.2244,1.0001
"cz[0,47]",0.145,0.8405,-1.2025,1.5529,0.0089,0.0093,8876.0087,6048.0681,0.9999
"cz[0,48]",0.6437,0.8045,-0.6535,1.952,0.0081,0.0072,9834.7903,5850.2732,0.9998
"cz[1,0]",-0.8364,0.7265,-2.0375,0.3347,0.0072,0.0061,10160.0184,6847.6501,1.0002
"cz[1,1]",0.639,0.7484,-0.5496,1.8853,0.0076,0.0065,9626.1018,6166.4973,1.0003
"cz[1,2]",-0.9469,0.7784,-2.1694,0.3844,0.0091,0.007,7387.0591,6270.3093,1.0008
"cz[1,3]",-0.4594,0.7374,-1.7062,0.698,0.0074,0.0073,9871.8875,5953.333,1.0032
"cz[1,4]",-0.1293,0.7329,-1.3046,1.1019,0.0075,0.008,9658.349,6525.1166,1.0015
"cz[1,5]",0.2507,0.741,-0.9727,1.4424,0.0078,0.0078,8942.0559,5569.9653,1.0003
"cz[1,6]",-0.8065,0.7683,-2.0419,0.4679,0.0086,0.0069,7942.84,6197.9666,0.9999
"cz[1,7]",-0.5341,0.7798,-1.8304,0.7292,0.0081,0.0075,9318.5316,6222.7324,1.0006
"cz[1,8]",-0.8488,0.7696,-2.1061,0.4209,0.0086,0.0066,8103.5824,5663.3806,1.0
"cz[1,9]",-1.0116,0.7784,-2.282,0.2599,0.0085,0.0069,8471.9897,5763.0687,1.0005
"cz[1,10]",-0.0295,0.7608,-1.3392,1.162,0.0082,0.0081,8734.044,6085.1138,1.0008
"cz[1,11]",-0.5032,0.74,-1.6715,0.7321,0.008,0.007,8588.134,6856.0943,1.0001
"cz[1,12]",-1.0167,0.8047,-2.3773,0.266,0.0089,0.007,8161.8285,5638.4242,1.0002
"cz[1,13]",-0.2239,0.7564,-1.4327,1.0553,0.0083,0.0075,8231.6312,6176.3319,1.0004
"cz[1,14]",-1.3729,0.7863,-2.6453,-0.0682,0.0083,0.0062,9031.3077,5979.8315,1.0001
"cz[1,15]",-0.4077,0.758,-1.6523,0.8503,0.0082,0.0079,8604.5252,5606.4414,1.0002
"cz[1,16]",0.4577,0.7198,-0.7015,1.6294,0.0076,0.0067,9081.3084,5905.3749,1.0001
"cz[1,17]",0.371,0.7514,-0.8663,1.5761,0.0082,0.0077,8455.9174,5719.207,1.0001
"cz[1,18]",0.6069,0.7279,-0.64,1.7303,0.0076,0.0064,9265.6187,6575.0017,1.0007
"cz[1,19]",-0.5247,0.7737,-1.857,0.6924,0.0081,0.0068,9050.9297,6604.4213,1.0002
"cz[1,20]",-0.793,0.7697,-2.1219,0.409,0.0084,0.0067,8374.8637,6094.6356,1.0003
"cz[1,21]",-0.3464,0.7529,-1.5699,0.8906,0.0083,0.0075,8191.8382,5342.2749,1.0
"cz[1,22]",0.0984,0.7302,-1.0704,1.3193,0.0072,0.0076,10347.239,6662.3403,1.0014
"cz[1,23]",-0.837,0.7725,-2.1033,0.4175,0.0087,0.007,7968.7417,5727.7337,1.0014
"cz[1,24]",-0.8622,0.7545,-2.0394,0.4339,0.0077,0.0063,9594.5495,6195.1207,1.0007
"cz[1,25]",-0.635,0.7845,-1.9108,0.641,0.0083,0.007,9030.1996,6381.523,1.0003
"cz[1,26]",0.599,0.7345,-0.622,1.7844,0.0067,0.0063,12022.4419,6628.386,1.0004
"cz[1,27]",-0.5994,0.8191,-1.8804,0.8003,0.0089,0.0075,8483.2244,6508.458,1.0002
"cz[1,28]",-0.395,0.7496,-1.5627,0.8743,0.008,0.0077,8853.2337,5574.2721,1.0002
"cz[1,29]",0.0921,0.7333,-1.0974,1.2972,0.0074,0.0078,9811.7906,6357.377,1.0
"cz[1,30]",-0.6003,0.7692,-1.8416,0.6901,0.0082,0.007,8889.4523,6118.2338,1.0005
"cz[1,31]",-0.8401,0.7829,-2.1266,0.4454,0.0082,0.007,9161.5099,5852.7081,1.0001
"cz[1,32]",-0.283,0.7553,-1.4922,0.9887,0.008,0.0075,8995.8331,6378.3728,1.0002
"cz[1,33]",0.0865,0.7373,-1.0991,1.3076,0.0079,0.0085,8710.88,5440.2712,1.0016
"cz[1,34]",-0.9751,0.7953,-2.2866,0.3338,0.0089,0.0071,7970.5691,6373.7642,1.0008
"cz[1,35]",-0.3056,0.81,-1.6634,1.0236,0.0087,0.0083,8577.0424,6375.3868,1.0007
"cz[1,36]",1.1859,0.7347,-0.0087,2.3867,0.0076,0.0058,9468.7797,6271.4726,1.0017
"cz[1,37]",-0.0247,0.7481,-1.2555,1.1741,0.0082,0.0085,8404.3765,5937.2492,1.0007
"cz[1,38]",-0.0185,0.7328,-1.1704,1.2146,0.0075,0.0077,9647.4221,6450.9644,1.0007
"cz[1,39]",-0.458,0.7609,-1.7466,0.7655,0.0085,0.0072,8025.6594,6370.5401,1.0003
"cz[1,40]",1.0923,0.7105,-0.0551,2.2784,0.007,0.0057,10166.4256,6223.4149,1.0011
"cz[1,41]",-1.0315,0.7911,-2.2968,0.3176,0.009,0.0068,7731.5695,5998.6897,0.9999
"cz[1,42]",0.1852,0.7587,-1.0455,1.4521,0.0083,0.0076,8447.3062,6282.5974,1.0012
"cz[1,43]",-0.088,0.737,-1.3019,1.0836,0.0075,0.0078,9543.1789,6522.6079,1.0003
"cz[1,44]",-0.1793,0.7732,-1.4033,1.1053,0.008,0.0082,9361.0572,5981.4744,1.0006
